"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2005","1,441.13","1,461.83","1,462.81","1,440.35","-","-1.41%"
"Apr 13, 2005","1,461.68","1,484.39","1,484.46","1,459.97","-","-1.85%"
"Apr 12, 2005","1,489.16","1,477.01","1,490.10","1,460.42","-","0.72%"
"Apr 11, 2005","1,478.55","1,490.43","1,492.32","1,477.13","-","-0.47%"
"Apr 08, 2005","1,485.60","1,499.93","1,503.21","1,485.43","-","-0.94%"
"Apr 07, 2005","1,499.71","1,481.13","1,499.71","1,481.13","-","1.29%"
"Apr 06, 2005","1,480.67","1,487.15","1,497.39","1,477.97","-","-0.21%"
"Apr 05, 2005","1,483.75","1,480.99","1,487.26","1,477.55","-","0.48%"
"Apr 04, 2005","1,476.72","1,469.42","1,482.06","1,461.27","-","0.50%"
"Apr 01, 2005","1,469.35","1,491.83","1,495.58","1,466.49","-","-0.89%"
"Mar 31, 2005","1,482.53","1,489.44","1,490.80","1,478.66","-","-0.62%"
"Mar 30, 2005","1,491.74","1,470.13","1,491.74","1,469.97","-","1.87%"
"Mar 29, 2005","1,464.34","1,471.25","1,483.43","1,458.26","-","-0.57%"
"Mar 28, 2005","1,472.71","1,476.40","1,484.85","1,472.71","-","0.19%"
"Mar 24, 2005","1,469.94","1,477.46","1,485.96","1,469.94","-","-0.12%"
"Mar 23, 2005","1,471.77","1,463.43","1,480.13","1,463.43","-","0.46%"
"Mar 22, 2005","1,465.09","1,484.13","1,490.44","1,464.99","-","-1.30%"
"Mar 21, 2005","1,484.45","1,483.16","1,490.57","1,470.94","-","0.00%"
"Mar 18, 2005","1,484.40","1,488.55","1,490.57","1,475.26","-","-0.22%"
"Mar 17, 2005","1,487.63","1,487.72","1,496.80","1,483.10","-","0.09%"
"Mar 16, 2005","1,486.23","1,497.40","1,508.16","1,482.62","-","-1.05%"
"Mar 15, 2005","1,502.06","1,520.26","1,520.43","1,500.88","-","-0.86%"
"Mar 14, 2005","1,515.09","1,509.19","1,515.16","1,502.60","-","0.63%"
"Mar 11, 2005","1,505.64","1,528.65","1,533.85","1,501.99","-","-1.23%"
"Mar 10, 2005","1,524.38","1,525.64","1,527.98","1,504.54","-","0.16%"
"Mar 09, 2005","1,521.98","1,526.90","1,537.97","1,520.45","-","-0.44%"
"Mar 08, 2005","1,528.65","1,540.80","1,549.56","1,527.50","-","-1.07%"
"Mar 07, 2005","1,545.20","1,524.04","1,552.53","1,523.73","-","1.62%"
"Mar 04, 2005","1,520.58","1,524.21","1,530.59","1,517.29","-","0.57%"
"Mar 03, 2005","1,511.89","1,530.13","1,530.68","1,502.32","-","-0.88%"
"Mar 02, 2005","1,525.28","1,517.68","1,541.14","1,514.98","-","-0.13%"
"Mar 01, 2005","1,527.25","1,516.63","1,529.37","1,515.20","-","1.07%"
"Feb 28, 2005","1,511.02","1,517.06","1,524.70","1,498.17","-","-1.04%"
"Feb 25, 2005","1,526.90","1,515.75","1,528.00","1,513.47","-","0.61%"
"Feb 24, 2005","1,517.71","1,493.59","1,517.88","1,491.74","-","1.38%"
"Feb 23, 2005","1,497.09","1,502.83","1,503.89","1,489.99","-","0.20%"
"Feb 22, 2005","1,494.07","1,502.94","1,523.51","1,493.58","-","-1.41%"
"Feb 18, 2005","1,515.40","1,519.21","1,524.04","1,512.73","-","-0.26%"
"Feb 17, 2005","1,519.29","1,543.03","1,546.69","1,519.22","-","-1.50%"
"Feb 16, 2005","1,542.41","1,541.26","1,547.69","1,535.37","-","-0.32%"
"Feb 15, 2005","1,547.30","1,538.38","1,561.17","1,535.34","-","0.59%"
"Feb 14, 2005","1,538.21","1,531.19","1,540.01","1,530.16","-","0.50%"
"Feb 11, 2005","1,530.51","1,505.09","1,535.54","1,498.68","-","1.57%"
"Feb 10, 2005","1,506.83","1,512.71","1,514.22","1,497.35","-","0.00%"
"Feb 09, 2005","1,506.81","1,534.41","1,534.48","1,504.60","-","-1.69%"
"Feb 08, 2005","1,532.69","1,529.55","1,542.41","1,527.04","-","0.24%"
"Feb 07, 2005","1,529.05","1,534.48","1,538.38","1,522.72","-","-0.35%"
"Feb 04, 2005","1,534.49","1,507.74","1,534.97","1,507.69","-","1.74%"
"Feb 03, 2005","1,508.24","1,516.22","1,518.13","1,501.96","-","-1.11%"
"Feb 02, 2005","1,525.10","1,527.29","1,531.22","1,515.45","-","0.09%"
"Feb 01, 2005","1,523.66","1,521.00","1,527.91","1,517.30","-","0.27%"
"Jan 31, 2005","1,519.63","1,515.16","1,523.27","1,513.06","-","1.35%"
"Jan 28, 2005","1,499.46","1,510.88","1,512.82","1,486.76","-","-0.54%"
"Jan 27, 2005","1,507.55","1,505.25","1,512.74","1,497.36","-","-0.10%"
"Jan 26, 2005","1,509.01","1,502.05","1,513.44","1,495.31","-","1.24%"
"Jan 25, 2005","1,490.57","1,492.65","1,505.05","1,488.60","-","0.67%"
"Jan 24, 2005","1,480.66","1,507.79","1,509.83","1,480.66","-","-1.53%"
"Jan 21, 2005","1,503.64","1,519.30","1,524.03","1,502.48","-","-0.72%"
"Jan 20, 2005","1,514.56","1,526.80","1,534.53","1,514.56","-","-2.01%"
"Jan 19, 2005","1,545.65","1,572.81","1,573.02","1,545.63","-","-1.77%"
"Jan 18, 2005","1,573.49","1,554.19","1,574.39","1,551.88","-","0.79%"
"Jan 14, 2005","1,561.11","1,552.11","1,563.79","1,550.05","-","1.03%"
"Jan 13, 2005","1,545.18","1,567.55","1,568.54","1,543.48","-","-1.32%"
"Jan 12, 2005","1,565.78","1,561.84","1,566.69","1,543.04","-","0.80%"
"Jan 11, 2005","1,553.40","1,556.66","1,562.24","1,545.28","-","-0.74%"
"Jan 10, 2005","1,564.92","1,561.23","1,577.71","1,558.54","-","0.01%"
"Jan 07, 2005","1,564.81","1,565.63","1,577.76","1,551.29","-","0.47%"
"Jan 06, 2005","1,557.52","1,567.66","1,570.75","1,556.84","-","-0.40%"
"Jan 05, 2005","1,563.76","1,568.68","1,580.88","1,562.64","-","-0.51%"
"Jan 04, 2005","1,571.83","1,611.22","1,612.78","1,565.02","-","-1.98%"
"Jan 03, 2005","1,603.51","1,628.75","1,635.45","1,598.79","-","-1.09%"
"Dec 31, 2004","1,621.12","1,624.37","1,628.91","1,620.31","-","-0.16%"
"Dec 30, 2004","1,623.76","1,626.21","1,628.74","1,621.58","-","-0.07%"
"Dec 29, 2004","1,624.95","1,619.36","1,629.90","1,619.36","-","0.05%"
"Dec 28, 2004","1,624.19","1,610.90","1,624.19","1,608.51","-","1.03%"
"Dec 27, 2004","1,607.59","1,621.33","1,623.80","1,600.25","-","-0.38%"
"Dec 23, 2004","1,613.77","1,608.87","1,619.18","1,608.64","-","0.01%"
"Dec 22, 2004","1,613.57","1,605.72","1,619.56","1,602.99","-","0.27%"
"Dec 21, 2004","1,609.26","1,598.60","1,611.34","1,594.89","-","1.09%"
"Dec 20, 2004","1,591.97","1,603.84","1,613.78","1,587.21","-","-0.29%"
"Dec 17, 2004","1,596.61","1,608.64","1,614.89","1,596.48","-","-0.68%"
