"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2005","105.40","104.60","105.55","104.10","9.19M","0.67%"
"Sep 28, 2005","104.70","104.80","105.04","104.16","6.38M","0.16%"
"Sep 27, 2005","104.53","104.37","104.90","104.07","8.16M","0.09%"
"Sep 26, 2005","104.44","104.65","105.03","104.02","6.41M","0.33%"
"Sep 23, 2005","104.10","103.92","104.50","103.67","4.98M","0.06%"
"Sep 22, 2005","104.04","103.74","104.40","103.44","7.93M","0.31%"
"Sep 21, 2005","103.72","104.51","104.51","103.62","10.70M","-0.95%"
"Sep 20, 2005","104.72","105.68","105.97","104.57","11.00M","-0.78%"
"Sep 19, 2005","105.54","106.12","106.15","105.13","8.61M","-0.65%"
"Sep 16, 2005","106.23","105.95","106.38","105.65","6.80M","0.54%"
"Sep 15, 2005","105.66","105.81","105.90","105.26","7.02M","0.09%"
"Sep 14, 2005","105.57","106.27","106.41","105.43","6.91M","-0.51%"
"Sep 13, 2005","106.11","106.59","106.81","106.01","6.01M","-0.66%"
"Sep 12, 2005","106.81","106.70","107.01","106.63","4.96M","0.05%"
"Sep 09, 2005","106.76","106.14","106.93","106.06","7.46M","0.80%"
"Sep 08, 2005","105.91","105.98","106.29","105.67","5.88M","-0.30%"
"Sep 07, 2005","106.23","105.81","106.37","105.71","7.28M","0.38%"
"Sep 06, 2005","105.83","104.98","105.93","104.92","10.76M","1.18%"
"Sep 02, 2005","104.60","104.78","104.93","104.30","11.83M","0.00%"
"Sep 01, 2005","104.60","104.78","105.19","104.22","7.40M","-0.28%"
"Aug 31, 2005","104.89","104.08","104.98","103.54","9.55M","0.86%"
"Aug 30, 2005","104.00","104.33","104.33","103.45","8.57M","-0.61%"
"Aug 29, 2005","104.64","103.50","104.81","103.45","6.55M","0.71%"
"Aug 26, 2005","103.90","104.36","104.39","103.79","5.55M","-0.54%"
"Aug 25, 2005","104.46","104.34","104.59","104.20","5.46M","0.27%"
"Aug 24, 2005","104.18","104.99","105.55","104.16","9.09M","-1.04%"
"Aug 23, 2005","105.28","105.64","105.73","104.91","7.01M","-0.36%"
"Aug 22, 2005","105.66","105.87","106.38","105.17","6.96M","-0.07%"
"Aug 19, 2005","105.73","105.87","106.20","105.52","4.03M","-0.03%"
"Aug 18, 2005","105.76","105.47","106.17","105.37","6.74M","0.08%"
"Aug 17, 2005","105.68","105.39","106.11","105.28","7.51M","0.27%"
"Aug 16, 2005","105.40","106.24","106.40","105.23","6.93M","-1.14%"
"Aug 15, 2005","106.62","106.06","106.70","105.73","4.77M","0.58%"
"Aug 12, 2005","106.01","106.65","106.68","105.80","5.36M","-0.80%"
"Aug 11, 2005","106.87","106.13","107.00","106.04","5.90M","0.59%"
"Aug 10, 2005","106.24","106.73","107.33","105.79","8.49M","-0.03%"
"Aug 09, 2005","106.27","105.87","106.43","105.82","5.43M","0.69%"
"Aug 08, 2005","105.54","105.94","106.05","105.25","6.56M","-0.10%"
"Aug 05, 2005","105.65","105.94","106.09","105.54","7.20M","-0.44%"
"Aug 04, 2005","106.12","106.65","106.73","106.01","5.17M","-0.82%"
"Aug 03, 2005","107.00","106.53","107.04","106.37","3.29M","0.27%"
"Aug 02, 2005","106.71","106.47","107.00","106.36","4.40M","0.49%"
"Aug 01, 2005","106.19","106.72","106.72","106.10","4.71M","-0.41%"
"Jul 29, 2005","106.63","107.02","107.16","106.39","5.56M","-0.41%"
"Jul 28, 2005","107.07","106.62","107.13","106.33","6.66M","0.68%"
"Jul 27, 2005","106.35","106.09","106.46","105.74","7.17M","0.50%"
"Jul 26, 2005","105.82","106.02","106.20","105.64","5.63M","-0.29%"
"Jul 25, 2005","106.13","106.52","106.85","105.86","5.81M","-0.33%"
"Jul 22, 2005","106.48","106.31","106.55","105.82","5.84M","0.27%"
"Jul 21, 2005","106.19","106.91","106.99","106.02","8.76M","-0.47%"
"Jul 20, 2005","106.69","105.86","106.89","105.75","5.90M","0.18%"
"Jul 19, 2005","106.50","106.45","106.59","106.11","4.09M","0.55%"
"Jul 18, 2005","105.92","106.05","106.25","105.66","6.09M","-0.35%"
"Jul 15, 2005","106.29","106.35","106.46","105.91","4.92M","-0.12%"
"Jul 14, 2005","106.42","106.07","106.57","106.04","10.99M","0.75%"
"Jul 13, 2005","105.63","105.31","105.66","105.15","6.56M","0.50%"
"Jul 12, 2005","105.10","105.19","105.49","104.85","6.65M","-0.13%"
"Jul 11, 2005","105.24","104.63","105.38","104.63","6.85M","0.65%"
"Jul 08, 2005","104.56","103.22","104.63","103.06","8.89M","1.38%"
"Jul 07, 2005","103.14","101.75","103.20","101.73","13.61M","0.46%"
"Jul 06, 2005","102.67","103.63","103.85","102.61","8.96M","-0.93%"
"Jul 05, 2005","103.63","102.85","103.87","102.80","4.75M","0.49%"
"Jul 01, 2005","103.12","103.07","103.45","102.83","6.49M","0.36%"
"Jun 30, 2005","102.75","103.94","104.07","102.56","9.98M","-0.82%"
"Jun 29, 2005","103.60","104.23","104.25","103.55","5.15M","-0.37%"
"Jun 28, 2005","103.98","103.18","104.00","103.17","6.49M","1.00%"
